artist_name,track_name,release_date,genre,value
don williams,listen to the radio,1984,country,guess lover ways want understand hand dance real slow radio listen radio listen radio spend night baby sing radio explain mind sound plain realize close eye feel word play radio repeat word sound real songs play feel repeat
willie nelson,the gypsy,1984,country,quaint caravan lady look future drive away fear come right believe tell glance heart tear look hand tell lover true heart know dear somebody kiss cause want believe lover true come someday look hand tell lover true heart know dear somebody kiss cause want believe lover true come someday
willie nelson,she's out of my life,1984,country,life life know laugh know live cut like knife life hand hand think years take grant cavalier stand hand learn possession learn learn need expression learn late life life know laugh know live cut like knife life
vern gosdin,you never cross my mind,1984,country,night nights slow leave wonder days gonna cross mind time time cross mind stay time time time eye picture forget away memory try miss reminder cross mind time time cross mind stay time
dolly parton,"i can't help myself (sugar pie, honey bunch)",1984,country,sugar bunch know help life come leave picture kiss thousand time snap finger wink come run tie like ballandchain help help sugar bunch weaker girl help fool wanna tell tell try time face choke inside start flame burn heart tear apart matter hide sugar bunch weak help sugar bunch help want sugar bunch know help help
the judds,sleeping heart,1984,country,awake stand wonder time like beneath snow wait take kiss come alive sleep heart arm wait eye handsome sleep heart sleep tell come love dream long long time slumber keep see recognize lips touch eye handsome sleep heart sleep
vern gosdin,what would your memories do,1984,country,memories mind heart break memories wonder happen morning memories wake mind go crazy long someday door mind lock inside heart couldn longer tear apart memories mind heart break memories memories
dolly parton,i walk the line,1984,country,close watch heart eye wide open time end tie bind walk line easy true admit fool walk line sure night dark light mind night happiness know prove right walk line cause hide know turn tide walk line close watch heart eye wide open time end tie bind walk line walk line walk line gonna walk gonna walk line gonna walk walk walk gonna walk line gonna walk gonna walk walk gonna walk line gonna walk walk gonna walk line gonna walk gonna walk line walk walk know gonna walk gonna walk line gonna walk line gonna walk line
alabama,the boy,1984,country,stay night till dark feed live shoe stumble catch outlaw try like try watch cartoon knee mamma little want know go play mountain fight strong get hurt mamma want know leave break mamma heart strong shed tear mamma
ronnie milsap,still losing you,1984,country,come tonight smoky place suddenly fleet memory image face pay check button coat step even rain avenue softly whisper lose lose inside keep hang go lose lose dial number long distance hear stranger party try reach recently move away fool leave need victim restless heart refuse forget touch lose lose inside keep hang go lose lose maybe someday learn live regret till heart try forget lose lose inside keep hang go lose lose
george jones,all fall down,1984,country,house small leave fall dream clear disappear sound fall lovers meet lovers quarrel lonely lonely girl lose dream like wall fall fall fall fall fall want tell bother comin round fall fall fall fall grant like bind fall castle tall house small leave fall fade dream clear disappear sound fall
willie nelson,just out of reach,1984,country,run away dream blue bother chain free away charm reach arm night dream face memories time erase awake go blue away charm reach arm lonesome feel time know dream hurt sleep vow away charm reach arm
vern gosdin,slow burnin' memory,1984,country,teach expect forget promise tell heart hurt forever heartaches away slow burn memory maybe time slow burn memory keep burn hole mind say goodbye begin realize break heart mend hop deal heartaches feel maybe die live slow burn memory maybe time slow burn memory keep burn hole mind slow burn memory keep burn hole mind
gary p. nunn,corona con lima,1984,country,corona lima corona lime todo tiempo time mucho gusto havin good time corona lima corona lime repeat regarda chica lima small lime corta bien slice right porra arriba cerveza hold beer squeeze real tight regarda chica lima small lime corta bien slice right porra arriba cerveza hold beer squeeze real tight
38 special,twentieth century fox,1984,country,claim travel fact arrive blue corvette dare plush tail love daddy cash cause spend watch walk double wild figure watch body talk twentieth century watch walk twentieth century talk talk designer jeans tight blue regardin sweat look love light cameras action boys attraction watch walk watch body talk twentieth century watch walk twentieth century talk talk designer jeans tight blue regardin sweat look love light cameras action boys attraction watch walk double wild figure watch body talk twentieth century watch walk twentieth century talk talk twentieth century watch walk watch walk twentieth century talk talk walk walk talk talk twentieth century twentieth century
conway twitty,everyone has someone they can't forget,1985,country,gently open scrapbook fade fall give date memory hasn fade forget years keep goin place sweet memories keep wornout picture dresser forget remember care memories believe flame eye memory forget forget
larry gatlin & the gatlin brothers,broken lady,1985,country,break lady wait mend like potter mend break vase break lady wait mend leave piece place like fortress die take care care need lady fortress slowly turn prison warn sign give heed vow morning join world pull apart wall come tumble grind world come crash heart break lady wait mend like potter mend break vase break lady wait mend leave piece place break lady wait mend leave piece place
