artist_name,track_name,release_date,genre,value
Mahalia Jackson,How I Got Over,1976,gospel,"I got over (How I got over) Well, how I got over (How I got over) Well, my soul look back and wonder Don't know how I got over (How I got over) How I got over (How I got over) My soul look back and wonder Well, just soon as I see king Jesus The man that died for me Well, the man who bled and suffered (Oh, yes) You know he hung on Calvary (Oh, yes) I'm gon' thank him for how he brought me Well, I'm gon' thank him for how he taught me Oh, thank him for how he kept me I'm gon' thank him 'cause he never left me I'm gonna thank him for heart felt religion I'm gonna thank him for a vision I'm gonna sing hallelujah Oh, shout all my trouble over I'm gon' thank him (Thank him for) All he's done for me"
Thomas A. Dorsey,"Precious Lord, Take My Hand",1989,gospel,"Precious Lord, take my hand Lead me on, let me stand I'm tired, I'm weak, I'm lone Through the storm, through the night Lead me on to the light Take my hand precious Lord, lead me home When my way grows drear precious Lord linger near When my light is almost gone Hear my cry, hear my call Hold my hand lest I fall Take my hand precious Lord, lead me home When the darkness appears and the night draws near And the day is past and gone At the river I stand Guide my feet, hold my hand Take my hand precious Lord, lead me home Precious Lord, take my hand Lead me on, let me stand I'm tired, I'm weak, I'm lone Through the storm, through the night Lead me on to the light Take my  hand precious Lord, lead me home Take my hand precious Lord, lead me home"
Aretha Franklin,Amazing Grace,1972,gospel,"And now the young lady that We have all been waiting to hear She is known by many names And deservedly so She's earned every title But it's my pleasure tonight to just say my sister Miss Aretha Franklin, give her big hand Now, as you know this is a recording session and  If things should happen and we have to take it over You understand how that is So if you said Amen on it first And we have to take it over When we get back to that spot you say Amen again, yeah? And if we have to take it over again you say Amen again Alright, uh, she could have been easy and have gone to the studio and done this album But she wanted to do something live And the only reason we want to do it live is to get the audience participation So now those of you here got to sound like about two thousand Can you sound like two thousand? (Make me hear, come on, yeah) Our irst selection, tonight is going to be a little number That was done by brother Marvin Gaye, and it's called Wholy, holy Ladies and gentlemen Aretha Franklin, Southern California choir"
Sam Cooke & The Soul Stirrers,Touch the Hem of His Garment,1972,gospel,"Whoa, there was a woman in the Bible days She had been sick, sick so very long But she heard 'bout Jesus was passin' by So she joined the gathering throng And while she was pushing her way through Someone asked her, What are you trying to do? She said, If I could just touch the hem of His garment I know I'll be made whole  She cried Oh, Lord (Oh, Lord), and whoa, Lord (Oh, Lord) And oh, oh Lord, and whoa, Lord (Oh, Lord) Said, If I could just touch the hem of His garment I know I'll be made whole  And whoa, she spent her money here and there Until she had no, had no more to spare The doctors, they'd done all they could But their medicine would do no good When she touched Him, the Savior didn't see But still he turned around and cried, Somebody touched me She said, It was I who just wanna touch the hem of your garment I know I'll be made whole right now  She stood there cryin', Oh (Oh, Lord) Oh (Oh, Lord) And oh, oh Lord, and whoa, Lord (Oh, Lord) Said, If I could just touch the hem of His garment I know I'll be made whole right now"
The Staple Singers,I'll Take You There,1972,gospel,"Oh, oh, mmm  I know a place Uh, ain't nobody cryin' Ain't nobody worried, no Ain't no smilin' faces, mmm, no, no Lyin' to the races  Help me, come on, come on Somebody help me now (I'll take you there) Help me, y'all (I'll take you there) Help me now (I'll take you there) Oh (I'll take you there) Oh, oh, mercy (I'll take you there) Oh, let me take you there (I'll take you there) Oh, oh, let me take you there (I'll take you there)  Play your, play your, play, play, play your, play your piano now Alright, ah, do it, do it, come on, now Play on it, play on it, big daddy, now Daddy, daddy, daddy, play your, mmm Ooh, Lord, alright now Baby, little Davey, easy now, help me out Come on, little Davey, alright Mmm, mmm, mmm, mmm Sock it, sock it, ah, oh, ah  I know a place, y'all (I'll take you there) Ain't nobody cryin', alright (I'll take you there) Ain't nobody worried (I'll take you there) No smilin' faces (I'll take you there) Uh-uh (Lyin' to the races, I'll take you there)  Oh, no, no, oh (I'll take you there) Oh, oh, oh (I'll take you there) Mercy now (I'll take you there) I'm callin', callin', callin' for mercy (I'll take you there) Mercy, mercy (I'll take you there) Let me (I'll take you there) Oh, oh, I'll take you there (I'll take you there) Oh, I wanna take you there (I'll take you there) Just take me by the hand, let me (I'll take you there) Let me, let me, let me, let me lead, lead the way, oh (I'll take you there) Let me take you there (I'll take you there) Let me take you there (I'll take you there) Ain't no smilin' faces (I'll take you there) Up in here, lyin' to the races (I'll take you there) You oughta, you gotta, gotta, gotta let me, let me (I'll take you there) Take you, take you, take you over there (I'll take you there) Ooh, oh, oh, alright (I'll take you there) Oh, alright (I'll take you there) Oh, oh (I'll take you there) Ah, oh, yeah (I'll take you there) Oh, yeah (I'll take you there) Let me lead the way (I'll take you there) Let me, let me, let me lead the way (I'll take you there) (I'll take you there) Oh, mmm (I'll take you there) You won't have to pay, oh, oh, no"
Edwin Hawkins Singers,Oh Happy Day,1969,gospel,"Oh, happy day (Oh, happy day) Oh, happy day (Oh, happy day) When Jesus washed (When Jesus washed) Oh, when he washed (When Jesus washed) When Jesus washed (When Jesus washed) He washed my sins away, Lord (Oh, happy day) Ah, happy day (Oh, happy day) Oh, happy day (Oh, happy day) Oh, happy day (Oh, happy day) When Jesus washed (When Jesus washed) Oh, when he washed (When Jesus washed) When Jesus washed (When Jesus washed) He washed my sins away, Lord (Oh, happy day) Ah, it's a happy day (Oh, happy day)  He taught me how (He taught me how) To watch (Watch) Fight and pray (Right now, good God, oh yeah) Fight and pray And he'll rejoice in everyday (Right now, good God, oh yeah) Everyday, oh happy day  Oh, happy day (Oh, happy day) Oh, happy day (Oh, happy day) When Jesus washed (When Jesus washed) Oh, when he washed (When Jesus washed) When Jesus washed (When Jesus washed) He washed my sins away (Oh, happy day) Ah, happy day (Oh, happy day)  He taught me how (He taught me how) To watch (Watch) Fight and pray (Right now, good God, oh yeah) Fight and pray And he'll rejoice in everyday (Come on, good God, oh yeah) Everyday  Oh, happy day (Oh, happy day) Oh, happy day (Oh, happy day) Oh, happy day (Oh, happy day) Oh, happy day (Oh, happy day) Oh, the happy day! Oh, happy day! Now when I think of heaven! (Oh, happy day) I'm gon' spread the news! (Oh, happy day) I'm gonna walk around! (Oh, happy day) In my golden shoes! (Oh, happy day) Tell me where you get it (Oh, happy day) They tell me that the gates of hell (Oh, happy day) They tell me that the hell! (Oh, happy day) They tell me that the hell! (Oh, happy day) They tell me that the hell! (Oh, happy day) Has never yet been told (Oh, happy day) When I get to heaven! (Oh, happy day) I'm gon' talk and shout yeah! (Oh, happy day) You don't want that! (Oh, happy day) Oh, happy hour yeah! (Oh, happy day) Oh, happy day! (Oh, happy day) Oh happy day! (Oh, happy day)  Oh, happy day (Oh, happy day) Oh, happy day (Oh, happy day) When Jesus washed (When Jesus washed) Oh, when he washed (When Jesus washed) When Jesus washed (When Jesus washed) He washed my sins away, Lord (Oh, happy day) Ah, it's a happy day (Oh, happy day) Oh, Lord (Oh, happy day) Mm, good God (Oh, happy day) Oh, yeah (Oh, happy day) Mm, Lord (Oh, happy day)"
James Cleveland,Peace Be Still,1963,gospel,"Master, the tempest is raging The billows are tossing high The sky is o'er shadowed with blackness No shelter or help is nigh  Carest Thou not that we perish? How canst Thou lie asleep When each moment so madly is threatening A grave in the angry deep?  The winds and the waves shall obey my will, peace be still Whether the wrath of the storm-tossed sea Or demons or men or whatever it be No water can swallow the ship where lies  The Master of ocean and earth and skies They shall sweetly obey my will Peace be still, peace be still They all shall sweetly obey my will, peace, peace be still  Master, with anguish of spirit I bow in my grief today The depths of my sad heart are troubled Oh, waken and save, I pray  Torrents of sin and of anguish Sweep o'er my sinking soul And I perish, I perish, dear Master Oh, hasten and take control  The winds and the waves shall obey my will, peace be still Whether the wrath of the storm-tossed sea Or demons or men or whatever it be No water can swallow the ship where lies  The Master of ocean and earth and skies They shall sweetly obey my will Peace be still, peace be still They all shall sweetly obey my will, peace, peace be still  Master, the terror is over The elements sweetly rest Earth's sun in the calm lake is mirrored And heaven's within my breast  Linger, o blessed Redeemer Leave me alone no more And with joy I shall make the blest harbor And rest on the blissful shore  The winds and the waves shall obey my will, peace be still Whether the wrath of the storm-tossed sea Or demons or men or whatever it be No water can swallow the ship where lies  The Master of ocean and earth and skies They shall sweetly obey my will Peace be still, peace be still They all shall sweetly obey my will, peace, peace be still"
Shirley Caesar,Sweeping Through the City,2013,gospel,"sweepin' through the city, (Where my) captain has gone before (And we're gonna) sit down by the banks of the river; I won't be back, I won't be back, I won't be back no more, no more. Blessed are the pure in heart for they'll go, (Sweepin' through the city). Blessed are the poor in spirit for they'll go, (Sweepin' through the city). Blessed are they that mourn for they'll go, (Sweepin' through the city). Blessed are the children of Israel for they'll go, (Sweepin' through the city). sweepin' through the city, (Where my) captain has gone before (And we're gonna) sit down by the banks of the river; I won't be back, I won't be back, I won't be back no more, no more. In that city sweepin' through the city, (Where my) captain has gone before (And we're gonna) sit down by the banks of the river; I won't be back, I won't be back, I won't be back no more, no more."
The Clark Sisters,You Brought the Sunshine,1981,gospel,"You made my day You came my way You heard me every time I pray You gave me peace You gave me grace You put a smile upon my face  You brought the sunshine in my life You are the lifeline Since that I have found Christ There has been such a change in my life  You made my day You came my way You heard me every time I pray You gave me peace You gave me grace You put a smile upon my face  You brought the sunshine You are the lifeline Since that I have found Christ There has been such a change in my life  You made my day You came my way You heard me every time I pray You gave me peace You gave me grace You put a smile upon my face  You brought the sunshine You are the lifeline You brought the sunshine You are the lifeline Since that I have found Christ There has been such a change in my life  I'm a witness that Jesus He'll make a difference in your life I'm a witness that Jesus He'll make a difference in your life  'Cause amazing grace How sweet the sound that saved a life like me!  You brought the sunshine You are the lifeline You brought the sunshine You are the lifeline Since that I have found Christ There has been such a change in my life  I'm a witness that Jesus He'll make a difference in your life I'm a witness that Jesus He'll make a difference in your life  I'm a witness that Jesus He'll make a difference in your life I'm a witness that Jesus He'll make a difference in your life  Amazing grace How sweet the sound that saved a life like me!  You made, You made my day You came, You came my way You made my day Oh you you you you gave me grace You gave me peace When the storms were raging you set me free  You made, You made my day You came, You came my way"
Andraé Crouch,Soon and Very Soon,1971,gospel,Soon and very soon We are going to see the King Soon and very soon We are going to see the King Soon and very soon We are going to see the King Hallelujah hallelujah We're going to see the King  Soon and very soon We are going to see the King Soon and very soon We are going to see the King Soon and very soon We are going to see the King Hallelujah hallelujah We're going to see the King  No more crying there We are going to see the King No more crying there We are going to see the King No more crying there We are going to see the King Hallelujah hallelujah We're going to see the King  Hallelujah ooh ooh ooh ah  No more dying there We are going to see the King No more dying there We are going to see the King No more dying there We are going to see the King Hallelujah hallelujah We're going to see the King  Hallelujah ooh ooh ooh ah  Should there be any rivers we must cross Should there be any mountains we must climb God will supply all the strength that we need Give us grace till we reach the other side  We have come from every nation God knows each of us by name Jesus took His blood and He washed our sins And He washed them all away Yes there are some of us Who have laid down our lives But we all shall live again On the other side  Soon and very soon We are going to see the King Soon and very soon We are going to see the King Soon and very soon We are going to see the King Hallelujah hallelujah We're going to see the King   Hallelujah ooh ooh ooh ah Hallelujah ooh ooh ooh Hallelu ooh ooh ooh ah  Oh we're going Going to see the king Oh we're going Going to see the king   Oh we're going Going to see the king Oh we're going Going to see the king  Oh we're going Going to see the king Oh we're going Going to see the king  Oh we're going Going to see the king Oh we're going Going to see the king  Oh we're going Going to see the king Oh we're going Going to see the king
