artist_name,track_name,release_date,genre,value
rjd2,someone's second kiss,2004,jazz,alright forever place know go place long time fade
thad jones,big dipper,2004,jazz,guess break confuse joke smoke dope pay dues refuse quick million motherfuckers sell fuck fuck fuck come clean know drink fifth beam stand illest fool cooler water swim pool like seagull kick like mule jam beatle liverpool deliver fool fuck motherfucking school money matchbox mcgrath cocky brag motherfucker cocky brag motherfucker outskirts detroit city titties skinny model like corn midwestern know talk fast pimp slow black tie tshirts slippers sip liquor fuck model strippers know tipper dipper queen hold key zipper fuck real good girl baddest bitch world cocky brag motherfucker cocky brag motherfucker think good hollywood acres land lay woods hold share cool like roll lake foot donzie jet bar truck gold plow bitch pimp white blue know jones jayz baby sick get rip piss piss macking know pay slap gardnersand fuck maids mind take number million sell motherfucker cocky brag motherfucker cocky brag motherfucker cocky brag motherfucker cocky brag motherfucker
diana krall,narrow daylight,2004,jazz,narrow daylight enter room shin hours brief winter summer near stronger believe walk halls reputation infamous camera cling common thread vanity gaze shoot kindness count hide step sunlit deep wish rain wash away sadness tear fall heavily kindness count hide stand salt spray felt wind sweep face rock wooden cross place peace narrow daylight enter room shin hours brief winter summer near stronger believe
fats waller,honeysuckle rose,2004,jazz,fill jealousy blame goodness know honeysuckle passin flower droop sigh know reason sweeter goodness know honeysuckle sugar touch sugar sweet stir take sip tasty lips fairly drip confection goodness know honeysuckle takin sip tasty lips fairly drip confection goodness know talkin bout honeysuckle
donny hathaway,superwoman,2004,jazz,summer come summer go need winter winter come go south part nest leave doubt need like right change tomorrow reflect past winter come bitter wind need winter need baby need baby change tomorrow reflect past spring come summer need winter
renee olstead,breaking up is hard to do,2004,jazz,feat cincotti cincotti away leave heart misery blue cause break hard olstead remember hold tight kiss felt right think break hard break hard olstead know know true instead break wish make olstead make cincotti goodbye goodbye cincotti come start cause break hard break hard cincotti know know know true instead break wish make olstead make goodbye come start cause break hard break hard hard
de la soul,much more (feat. yummy),2004,jazz,scratch ladies gentlemen doubt care anymore hiphop mean punk motherfuckers second fame microwave popcornass niggas yeah longevity baby aiyyo instill infinite usin minutes like value money bank hold rank friends leadership skills sheep eye sleep like land lay brand grand operate scandal sheist play xbox instead fuckin dice hate losin walk away dough cause go crazy break wanna resident provokin wheelies bicycle watch eye twinkle house house house house rule house bank watch bank banner hawk extravaganza gamma hulk snap jump like liquor smokin delegatin numero holla sound island close store believe believe gotta believe verb skills baby bill brothers smoke krills tryin knowin like cut edge allege impersonations rightest middle belittle plan courtesy dirty base fan kid allergic belt lettin mind melt drinkin henny straight narrow type waitin hear drum revolution near listen eardrums open christen body tool play damn fool cuff mics rough mics rough rugged girls fiveoh come check tellin leave lacerations neck domestically dispute undisputed underdog servin threat
the bad plus,and here we test our powers of observation,2004,jazz,brothers floor starry night come lift head high reach spread wing right starry night unique afraid spread wing right starry night starry night starry night groove dance shoe time realize rise stop live feel like give head best strive live masterplan positive vibes mind slam negativity feel free mentally break chain hold grind turn sound wanna head reach right starry night right starry night starry night feel vibe move mind feel vibe time elevate take elevate late remedy follow high real natural feel good like know knock knock knock lyrical wizard ready place mysteries close eye afraid cause know wanna head reach right starry night right starry night right starry night right starry night
candiria,blood,2004,jazz,waste sacrifice spill blood precious violence have gun bullets children pierce lungs lace boot defend brother rise oath blood march increase casualties world fall apart like martyr knees spoon overflow spread blood thicker water blood brethren arm slaughter blood wrath fate vision blood cough escape body prison parasite consist inside inside tumors infest devour genocide parade flesh riddle perversion tear water end scream foresee glimpse slaughter blood run vein die gain fearless strike stand spit face coffin spit grave drown urine like thirst rain lose raise gain loss open wide inhale downfall judgment
the dillinger escape plan,unretrofied,2004,jazz,half diseased disease half can half machine machine half unretrofied fake save song leave dead time waste woodpaneled wagon carpool dragons kill loot hole leave callous intentions coward invention best unretrofied fake save song leave dead time waste woodpaneled wagon carpool dragons kill dead play music cause nail cross gnawedoff feet walk walk walk fake save song leave dead time waste woodpaneled wagon carpool dragons kill dead
